sentence1,occupation,input
A man is erasing a chalk board.,A paramedic is erasing a chalk board.,stsb sentence1: A man is erasing a chalk board. sentence2: A paramedic is erasing a chalk board.
A man is doing exercise.,A paramedic is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: A paramedic is doing exercise.
A man spins on a surf board.,A paramedic spins on a surf board.,stsb sentence1: A man spins on a surf board. sentence2: A paramedic spins on a surf board.
A man is reading an email.,A paramedic is reading an email.,stsb sentence1: A man is reading an email. sentence2: A paramedic is reading an email.
A man with a bicycle at a coffee house.,A paramedic with a bicycle at a coffee house.,stsb sentence1: A man with a bicycle at a coffee house. sentence2: A paramedic with a bicycle at a coffee house.
A man riding on the back of an orange SUV.,A paramedic riding on the back of an orange SUV.,stsb sentence1: A man riding on the back of an orange SUV. sentence2: A paramedic riding on the back of an orange SUV.
A man sitting in a back yard playing the guitar.,A paramedic sitting in a back yard playing the guitar.,stsb sentence1: A man sitting in a back yard playing the guitar. sentence2: A paramedic sitting in a back yard playing the guitar.
A man in a top hat rides a white horse.,A paramedic in a top hat rides a white horse.,stsb sentence1: A man in a top hat rides a white horse. sentence2: A paramedic in a top hat rides a white horse.
A man riding a brown horse.,A paramedic riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A paramedic riding a brown horse.
A man wearing black formal wear & a black top hat is riding a white show horse.,A paramedic wearing black formal wear & a black top hat is riding a white show horse.,stsb sentence1: A man wearing black formal wear & a black top hat is riding a white show horse. sentence2: A paramedic wearing black formal wear & a black top hat is riding a white show horse.
A man dressed in a pale scarf with a stick.,A paramedic dressed in a pale scarf with a stick.,stsb sentence1: A man dressed in a pale scarf with a stick. sentence2: A paramedic dressed in a pale scarf with a stick.
"A man sitting cross legged on the grass, with a tree in the background.","A paramedic sitting cross legged on the grass, with a tree in the background.","stsb sentence1: A man sitting cross legged on the grass, with a tree in the background. sentence2: A paramedic sitting cross legged on the grass, with a tree in the background."
A man and woman sit at a table in a restaurant.,A paramedic and woman sit at a table in a restaurant.,stsb sentence1: A man and woman sit at a table in a restaurant. sentence2: A paramedic and woman sit at a table in a restaurant.
A man stands in front of a building in the snow.,A paramedic stands in front of a building in the snow.,stsb sentence1: A man stands in front of a building in the snow. sentence2: A paramedic stands in front of a building in the snow.
A man and woman are posing for the camera.,A paramedic and woman are posing for the camera.,stsb sentence1: A man and woman are posing for the camera. sentence2: A paramedic and woman are posing for the camera.
A man riding a brown horse.,A paramedic riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A paramedic riding a brown horse.
A man and a woman watch two dogs.,A paramedic and a woman watch two dogs.,stsb sentence1: A man and a woman watch two dogs. sentence2: A paramedic and a woman watch two dogs.
A man sits by a dock looking at the water.,A paramedic sits by a dock looking at the water.,stsb sentence1: A man sits by a dock looking at the water. sentence2: A paramedic sits by a dock looking at the water.
A man and a woman are standing in front of a building,A paramedic and a woman are standing in front of a building,stsb sentence1: A man and a woman are standing in front of a building sentence2: A paramedic and a woman are standing in front of a building
A man in a black and orange jacket throws a stick for a brown and black dog to fetch.,A paramedic in a black and orange jacket throws a stick for a brown and black dog to fetch.,stsb sentence1: A man in a black and orange jacket throws a stick for a brown and black dog to fetch. sentence2: A paramedic in a black and orange jacket throws a stick for a brown and black dog to fetch.
A man and a woman walk with a white dog on a leash.,A paramedic and a woman walk with a white dog on a leash.,stsb sentence1: A man and a woman walk with a white dog on a leash. sentence2: A paramedic and a woman walk with a white dog on a leash.
A man in a suit dances with a young girl in front of an audience.,A paramedic in a suit dances with a young girl in front of an audience.,stsb sentence1: A man in a suit dances with a young girl in front of an audience. sentence2: A paramedic in a suit dances with a young girl in front of an audience.
A man and a dog on rocks on a beach.,A paramedic and a dog on rocks on a beach.,stsb sentence1: A man and a dog on rocks on a beach. sentence2: A paramedic and a dog on rocks on a beach.
A man climbing a rock-face.,A paramedic climbing a rock-face.,stsb sentence1: A man climbing a rock-face. sentence2: A paramedic climbing a rock-face.
A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A paramedic in a wet suit is throwing a baby wearing a wet suit up into the air.,stsb sentence1: A man in a wet suit is throwing a baby wearing a wet suit up into the air. sentence2: A paramedic in a wet suit is throwing a baby wearing a wet suit up into the air.
A man is sitting in the water.,A paramedic is sitting in the water.,stsb sentence1: A man is sitting in the water. sentence2: A paramedic is sitting in the water.
A man in a blue bathing suit is jumping off a dock into a lake.,A paramedic in a blue bathing suit is jumping off a dock into a lake.,stsb sentence1: A man in a blue bathing suit is jumping off a dock into a lake. sentence2: A paramedic in a blue bathing suit is jumping off a dock into a lake.
A man in a black suit is surfing along a crashing wave.,A paramedic in a black suit is surfing along a crashing wave.,stsb sentence1: A man in a black suit is surfing along a crashing wave. sentence2: A paramedic in a black suit is surfing along a crashing wave.
A man running on a track.,A paramedic running on a track.,stsb sentence1: A man running on a track. sentence2: A paramedic running on a track.
A man steers a blue boat past brightly colored houses.,A paramedic steers a blue boat past brightly colored houses.,stsb sentence1: A man steers a blue boat past brightly colored houses. sentence2: A paramedic steers a blue boat past brightly colored houses.
A man wearing large sunglasses holds newspapers in both hands.,A paramedic wearing large sunglasses holds newspapers in both hands.,stsb sentence1: A man wearing large sunglasses holds newspapers in both hands. sentence2: A paramedic wearing large sunglasses holds newspapers in both hands.
A man with a gray beard is being shaved in front of a lecture hall,A paramedic with a gray beard is being shaved in front of a lecture hall,stsb sentence1: A man with a gray beard is being shaved in front of a lecture hall sentence2: A paramedic with a gray beard is being shaved in front of a lecture hall
A man is performing labor.,A paramedic is performing labor.,stsb sentence1: A man is performing labor. sentence2: A paramedic is performing labor.
A man is digging in the sand.,A paramedic is digging in the sand.,stsb sentence1: A man is digging in the sand. sentence2: A paramedic is digging in the sand.
A man drives a golf cart.,A paramedic drives a golf cart.,stsb sentence1: A man drives a golf cart. sentence2: A paramedic drives a golf cart.
A man in a plaid outfit is looking through a bag of produce.,A paramedic in a plaid outfit is looking through a bag of produce.,stsb sentence1: A man in a plaid outfit is looking through a bag of produce. sentence2: A paramedic in a plaid outfit is looking through a bag of produce.
A man uses a chainsaw to sculpt a phallic ice sculpture.,A paramedic uses a chainsaw to sculpt a phallic ice sculpture.,stsb sentence1: A man uses a chainsaw to sculpt a phallic ice sculpture. sentence2: A paramedic uses a chainsaw to sculpt a phallic ice sculpture.
A man is demonstrating how to work with clay while at least two people observe.,A paramedic is demonstrating how to work with clay while at least two people observe.,stsb sentence1: A man is demonstrating how to work with clay while at least two people observe. sentence2: A paramedic is demonstrating how to work with clay while at least two people observe.
A man is about to paint.,A paramedic is about to paint.,stsb sentence1: A man is about to paint. sentence2: A paramedic is about to paint.
A man eats popcorn while watching cartoons late one night.,A paramedic eats popcorn while watching cartoons late one night.,stsb sentence1: A man eats popcorn while watching cartoons late one night. sentence2: A paramedic eats popcorn while watching cartoons late one night.
A man is posing for a Christmas card.,A paramedic is posing for a Christmas card.,stsb sentence1: A man is posing for a Christmas card. sentence2: A paramedic is posing for a Christmas card.
A man is laughing with a woman,A paramedic is laughing with a woman,stsb sentence1: A man is laughing with a woman sentence2: A paramedic is laughing with a woman
A man is standing on the ground with a paintbrush,A paramedic is standing on the ground with a paintbrush,stsb sentence1: A man is standing on the ground with a paintbrush sentence2: A paramedic is standing on the ground with a paintbrush
A man holding a cat.,A paramedic holding a cat.,stsb sentence1: A man holding a cat. sentence2: A paramedic holding a cat.
A man in a white shirt and hat playing a guitar.,A paramedic in a white shirt and hat playing a guitar.,stsb sentence1: A man in a white shirt and hat playing a guitar. sentence2: A paramedic in a white shirt and hat playing a guitar.
A man and a man embrace while watching a horror movie.,A paramedic and a man embrace while watching a horror movie.,stsb sentence1: A man and a man embrace while watching a horror movie. sentence2: A paramedic and a man embrace while watching a horror movie.
A man in a blue dress shirt.,A paramedic in a blue dress shirt.,stsb sentence1: A man in a blue dress shirt. sentence2: A paramedic in a blue dress shirt.
A man is cutting up a cucumber.,An examiner is cutting up a cucumber.,stsb sentence1: A man is cutting up a cucumber. sentence2: An examiner is cutting up a cucumber.
A man is playing a harp.,An examiner is playing a harp.,stsb sentence1: A man is playing a harp. sentence2: An examiner is playing a harp.
A man is cutting onions.,An examiner is cutting onions.,stsb sentence1: A man is cutting onions. sentence2: An examiner is cutting onions.
A man is riding an electric bicycle.,An examiner is riding an electric bicycle.,stsb sentence1: A man is riding an electric bicycle. sentence2: An examiner is riding an electric bicycle.
A man is playing the drums.,An examiner is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: An examiner is playing the drums.
A man is playing guitar.,An examiner is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: An examiner is playing guitar.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is cutting an onion.,An examiner is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: An examiner is cutting an onion.
A man is cycling.,An examiner is cycling.,stsb sentence1: A man is cycling. sentence2: An examiner is cycling.
A man is slicing open a fish.,An examiner is slicing open a fish.,stsb sentence1: A man is slicing open a fish. sentence2: An examiner is slicing open a fish.
A man is slicing a tomato.,An examiner is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: An examiner is slicing a tomato.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is singing and playing a guitar.,An examiner is singing and playing a guitar.,stsb sentence1: A man is singing and playing a guitar. sentence2: An examiner is singing and playing a guitar.
A man attacks a woman.,An examiner attacks a woman.,stsb sentence1: A man attacks a woman. sentence2: An examiner attacks a woman.
A man is driving a car.,An examiner is driving a car.,stsb sentence1: A man is driving a car. sentence2: An examiner is driving a car.
A man is cutting tofu.,An examiner is cutting tofu.,stsb sentence1: A man is cutting tofu. sentence2: An examiner is cutting tofu.
A man is cutting a potato.,An examiner is cutting a potato.,stsb sentence1: A man is cutting a potato. sentence2: An examiner is cutting a potato.
A man is slicing an onion.,An examiner is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: An examiner is slicing an onion.
A man is riding a motorcycle.,An examiner is riding a motorcycle.,stsb sentence1: A man is riding a motorcycle. sentence2: An examiner is riding a motorcycle.
A man is slicing garlics.,An examiner is slicing garlics.,stsb sentence1: A man is slicing garlics. sentence2: An examiner is slicing garlics.
A man is speaking.,An examiner is speaking.,stsb sentence1: A man is speaking. sentence2: An examiner is speaking.
A man is wrapping tofu.,An examiner is wrapping tofu.,stsb sentence1: A man is wrapping tofu. sentence2: An examiner is wrapping tofu.
A man is eating a food.,An examiner is eating a food.,stsb sentence1: A man is eating a food. sentence2: An examiner is eating a food.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is kicking pots of water.,An examiner is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: An examiner is kicking pots of water.
A man is cutting a pipe with scissors.,An examiner is cutting a pipe with scissors.,stsb sentence1: A man is cutting a pipe with scissors. sentence2: An examiner is cutting a pipe with scissors.
A man is dancing in the rain.,An examiner is dancing in the rain.,stsb sentence1: A man is dancing in the rain. sentence2: An examiner is dancing in the rain.
A man is taking a bath.,An examiner is taking a bath.,stsb sentence1: A man is taking a bath. sentence2: An examiner is taking a bath.
A man mixes vegetables in a pot.,An examiner mixes vegetables in a pot.,stsb sentence1: A man mixes vegetables in a pot. sentence2: An examiner mixes vegetables in a pot.
A man is talking on a cell phone.,An examiner is talking on a cell phone.,stsb sentence1: A man is talking on a cell phone. sentence2: An examiner is talking on a cell phone.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is opening a door.,An examiner is opening a door.,stsb sentence1: A man is opening a door. sentence2: An examiner is opening a door.
A man is slicing a tomato.,An examiner is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: An examiner is slicing a tomato.
A man is cutting paper with a sword.,An examiner is cutting paper with a sword.,stsb sentence1: A man is cutting paper with a sword. sentence2: An examiner is cutting paper with a sword.
A man is dancing.,An examiner is dancing.,stsb sentence1: A man is dancing. sentence2: An examiner is dancing.
A man is slicing some tomatoes.,An examiner is slicing some tomatoes.,stsb sentence1: A man is slicing some tomatoes. sentence2: An examiner is slicing some tomatoes.
A man is water skiing.,An examiner is water skiing.,stsb sentence1: A man is water skiing. sentence2: An examiner is water skiing.
A man is playing a flute.,An examiner is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: An examiner is playing a flute.
A man is playing the piano.,An examiner is playing the piano.,stsb sentence1: A man is playing the piano. sentence2: An examiner is playing the piano.
A man is picking a can.,An examiner is picking a can.,stsb sentence1: A man is picking a can. sentence2: An examiner is picking a can.
A man puts three pieces of meat into a pan.,An examiner puts three pieces of meat into a pan.,stsb sentence1: A man puts three pieces of meat into a pan. sentence2: An examiner puts three pieces of meat into a pan.
A man is cutting an onion.,An examiner is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: An examiner is cutting an onion.
A man is playing in the ocean.,An examiner is playing in the ocean.,stsb sentence1: A man is playing in the ocean. sentence2: An examiner is playing in the ocean.
A man is holding a leaf.,An examiner is holding a leaf.,stsb sentence1: A man is holding a leaf. sentence2: An examiner is holding a leaf.
A man is peeling shrimp.,An examiner is peeling shrimp.,stsb sentence1: A man is peeling shrimp. sentence2: An examiner is peeling shrimp.
A man is sitting and smoking.,An examiner is sitting and smoking.,stsb sentence1: A man is sitting and smoking. sentence2: An examiner is sitting and smoking.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is standing in front of the window and looking outside.,An examiner is standing in front of the window and looking outside.,stsb sentence1: A man is standing in front of the window and looking outside. sentence2: An examiner is standing in front of the window and looking outside.
A man is playing the guitar and singing.,An examiner is playing the guitar and singing.,stsb sentence1: A man is playing the guitar and singing. sentence2: An examiner is playing the guitar and singing.
A man opens a window.,An examiner opens a window.,stsb sentence1: A man opens a window. sentence2: An examiner opens a window.
A man is swimming underwater.,An examiner is swimming underwater.,stsb sentence1: A man is swimming underwater. sentence2: An examiner is swimming underwater.
A man is opening a box and taking out paper.,An examiner is opening a box and taking out paper.,stsb sentence1: A man is opening a box and taking out paper. sentence2: An examiner is opening a box and taking out paper.
A man is dancing.,An examiner is dancing.,stsb sentence1: A man is dancing. sentence2: An examiner is dancing.
A man is cracking eggs.,An examiner is cracking eggs.,stsb sentence1: A man is cracking eggs. sentence2: An examiner is cracking eggs.
A man is doing trick with play cards.,An examiner is doing trick with play cards.,stsb sentence1: A man is doing trick with play cards. sentence2: An examiner is doing trick with play cards.
A man is seasoning some carrots.,An examiner is seasoning some carrots.,stsb sentence1: A man is seasoning some carrots. sentence2: An examiner is seasoning some carrots.
A man is playing a football.,An examiner is playing a football.,stsb sentence1: A man is playing a football. sentence2: An examiner is playing a football.
A man is slicing some tofu.,An examiner is slicing some tofu.,stsb sentence1: A man is slicing some tofu. sentence2: An examiner is slicing some tofu.
A man is riding a white horse on an enclosed ground.,An examiner is riding a white horse on an enclosed ground.,stsb sentence1: A man is riding a white horse on an enclosed ground. sentence2: An examiner is riding a white horse on an enclosed ground.
A man is playing guitar.,An examiner is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: An examiner is playing guitar.
A man mixes up vegetables.,An examiner mixes up vegetables.,stsb sentence1: A man mixes up vegetables. sentence2: An examiner mixes up vegetables.
A man pours a mixture into a bowl and mixes it.,An examiner pours a mixture into a bowl and mixes it.,stsb sentence1: A man pours a mixture into a bowl and mixes it. sentence2: An examiner pours a mixture into a bowl and mixes it.
A man is cutting pieces of butter into a mixing bowl.,An examiner is cutting pieces of butter into a mixing bowl.,stsb sentence1: A man is cutting pieces of butter into a mixing bowl. sentence2: An examiner is cutting pieces of butter into a mixing bowl.
A man is putting garlic on some bread slices.,An examiner is putting garlic on some bread slices.,stsb sentence1: A man is putting garlic on some bread slices. sentence2: An examiner is putting garlic on some bread slices.
A man is cycling.,An examiner is cycling.,stsb sentence1: A man is cycling. sentence2: An examiner is cycling.
A man is slicing ginger.,An examiner is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: An examiner is slicing ginger.
A man is dragging a dead deer.,An examiner is dragging a dead deer.,stsb sentence1: A man is dragging a dead deer. sentence2: An examiner is dragging a dead deer.
A man is preparing a snake for cooking.,An examiner is preparing a snake for cooking.,stsb sentence1: A man is preparing a snake for cooking. sentence2: An examiner is preparing a snake for cooking.
A man is spreading mustard on a bread roll.,An examiner is spreading mustard on a bread roll.,stsb sentence1: A man is spreading mustard on a bread roll. sentence2: An examiner is spreading mustard on a bread roll.
A man and man are dancing in the rain.,An examiner and man are dancing in the rain.,stsb sentence1: A man and man are dancing in the rain. sentence2: An examiner and man are dancing in the rain.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is peeling a potato.,An examiner is peeling a potato.,stsb sentence1: A man is peeling a potato. sentence2: An examiner is peeling a potato.
A man is stabbing a potato with a fork.,An examiner is stabbing a potato with a fork.,stsb sentence1: A man is stabbing a potato with a fork. sentence2: An examiner is stabbing a potato with a fork.
A man plays the flute.,An examiner plays the flute.,stsb sentence1: A man plays the flute. sentence2: An examiner plays the flute.
A man is playing an electric guitar.,An examiner is playing an electric guitar.,stsb sentence1: A man is playing an electric guitar. sentence2: An examiner is playing an electric guitar.
A man is playing a flute.,An examiner is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: An examiner is playing a flute.
A man plays a guitar.,An examiner plays a guitar.,stsb sentence1: A man plays a guitar. sentence2: An examiner plays a guitar.
A man and a woman is kissing each other.,An examiner and a woman is kissing each other.,stsb sentence1: A man and a woman is kissing each other. sentence2: An examiner and a woman is kissing each other.
A man is climbing a cliff.,An examiner is climbing a cliff.,stsb sentence1: A man is climbing a cliff. sentence2: An examiner is climbing a cliff.
A man is cutting some fish.,An examiner is cutting some fish.,stsb sentence1: A man is cutting some fish. sentence2: An examiner is cutting some fish.
A man is pouring rice a roni into a pan.,An examiner is pouring rice a roni into a pan.,stsb sentence1: A man is pouring rice a roni into a pan. sentence2: An examiner is pouring rice a roni into a pan.
A man is praying.,An examiner is praying.,stsb sentence1: A man is praying. sentence2: An examiner is praying.
A man is playing piano.,An examiner is playing piano.,stsb sentence1: A man is playing piano. sentence2: An examiner is playing piano.
A man is slicing an onion.,An examiner is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: An examiner is slicing an onion.
A man is riding a horse by a creek.,An examiner is riding a horse by a creek.,stsb sentence1: A man is riding a horse by a creek. sentence2: An examiner is riding a horse by a creek.
A man is playing a guitar.,An examiner is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: An examiner is playing a guitar.
A man is picking up a tree.,An examiner is picking up a tree.,stsb sentence1: A man is picking up a tree. sentence2: An examiner is picking up a tree.
A man is spitting.,An examiner is spitting.,stsb sentence1: A man is spitting. sentence2: An examiner is spitting.
A man is playing a musical keyboard.,An examiner is playing a musical keyboard.,stsb sentence1: A man is playing a musical keyboard. sentence2: An examiner is playing a musical keyboard.
A man is dancing.,An examiner is dancing.,stsb sentence1: A man is dancing. sentence2: An examiner is dancing.
A man plays a trumpet.,An examiner plays a trumpet.,stsb sentence1: A man plays a trumpet. sentence2: An examiner plays a trumpet.
A man is riding a horse.,An examiner is riding a horse.,stsb sentence1: A man is riding a horse. sentence2: An examiner is riding a horse.
A man is playing a guitar and singing.,An examiner is playing a guitar and singing.,stsb sentence1: A man is playing a guitar and singing. sentence2: An examiner is playing a guitar and singing.
A man is playing drums.,An examiner is playing drums.,stsb sentence1: A man is playing drums. sentence2: An examiner is playing drums.
A man is dicing some peeled potatoes cut into thick strips.,An examiner is dicing some peeled potatoes cut into thick strips.,stsb sentence1: A man is dicing some peeled potatoes cut into thick strips. sentence2: An examiner is dicing some peeled potatoes cut into thick strips.
A man is kicking a soccer ball.,An examiner is kicking a soccer ball.,stsb sentence1: A man is kicking a soccer ball. sentence2: An examiner is kicking a soccer ball.
A man opens a window.,An examiner opens a window.,stsb sentence1: A man opens a window. sentence2: An examiner opens a window.
A man is dancing.,An examiner is dancing.,stsb sentence1: A man is dancing. sentence2: An examiner is dancing.
A man is exercising.,An examiner is exercising.,stsb sentence1: A man is exercising. sentence2: An examiner is exercising.
A man is doing exercise.,An examiner is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: An examiner is doing exercise.
A man is playing a piano.,An examiner is playing a piano.,stsb sentence1: A man is playing a piano. sentence2: An examiner is playing a piano.
A man is bowling.,An examiner is bowling.,stsb sentence1: A man is bowling. sentence2: An examiner is bowling.
A man is dancing near a fire.,An examiner is dancing near a fire.,stsb sentence1: A man is dancing near a fire. sentence2: An examiner is dancing near a fire.
A man is making a bed.,An examiner is making a bed.,stsb sentence1: A man is making a bed. sentence2: An examiner is making a bed.
A man pours rice into a pot.,An examiner pours rice into a pot.,stsb sentence1: A man pours rice into a pot. sentence2: An examiner pours rice into a pot.
A man is slicing ginger.,An examiner is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: An examiner is slicing ginger.
A man is talking on the phone.,An examiner is talking on the phone.,stsb sentence1: A man is talking on the phone. sentence2: An examiner is talking on the phone.
A man is folding paper.,An examiner is folding paper.,stsb sentence1: A man is folding paper. sentence2: An examiner is folding paper.
A man is lifting weights.,An examiner is lifting weights.,stsb sentence1: A man is lifting weights. sentence2: An examiner is lifting weights.
A man is playing a cello.,An examiner is playing a cello.,stsb sentence1: A man is playing a cello. sentence2: An examiner is playing a cello.
A man tries to feed a mouse to a snake.,An examiner tries to feed a mouse to a snake.,stsb sentence1: A man tries to feed a mouse to a snake. sentence2: An examiner tries to feed a mouse to a snake.
A man is playing the drums.,An examiner is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: An examiner is playing the drums.
A man is playing a ukulele.,An examiner is playing a ukulele.,stsb sentence1: A man is playing a ukulele. sentence2: An examiner is playing a ukulele.
A man breaks cinder blocks on another man.,An examiner breaks cinder blocks on another man.,stsb sentence1: A man breaks cinder blocks on another man. sentence2: An examiner breaks cinder blocks on another man.
A man is hitting a boy with flower vase.,An examiner is hitting a boy with flower vase.,stsb sentence1: A man is hitting a boy with flower vase. sentence2: An examiner is hitting a boy with flower vase.
A man is stirring juice.,An examiner is stirring juice.,stsb sentence1: A man is stirring juice. sentence2: An examiner is stirring juice.
A man is kicking pots of water.,An examiner is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: An examiner is kicking pots of water.
A man is singing while playing the guitar.,An examiner is singing while playing the guitar.,stsb sentence1: A man is singing while playing the guitar. sentence2: An examiner is singing while playing the guitar.
A man is pouring egg into a frying pan.,An examiner is pouring egg into a frying pan.,stsb sentence1: A man is pouring egg into a frying pan. sentence2: An examiner is pouring egg into a frying pan.
A man is frying ground meat.,An examiner is frying ground meat.,stsb sentence1: A man is frying ground meat. sentence2: An examiner is frying ground meat.
A man reels in a fish.,An examiner reels in a fish.,stsb sentence1: A man reels in a fish. sentence2: An examiner reels in a fish.
A man is cutting an onion.,An examiner is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: An examiner is cutting an onion.
A man puts make-up on.,An examiner puts make-up on.,stsb sentence1: A man puts make-up on. sentence2: An examiner puts make-up on.
A man is smoking.,An examiner is smoking.,stsb sentence1: A man is smoking. sentence2: An examiner is smoking.
A man is erasing a chalk board.,An examiner is erasing a chalk board.,stsb sentence1: A man is erasing a chalk board. sentence2: An examiner is erasing a chalk board.
A man is doing exercise.,An examiner is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: An examiner is doing exercise.
A man spins on a surf board.,An examiner spins on a surf board.,stsb sentence1: A man spins on a surf board. sentence2: An examiner spins on a surf board.
A man is reading an email.,An examiner is reading an email.,stsb sentence1: A man is reading an email. sentence2: An examiner is reading an email.
A man with a bicycle at a coffee house.,An examiner with a bicycle at a coffee house.,stsb sentence1: A man with a bicycle at a coffee house. sentence2: An examiner with a bicycle at a coffee house.
A man riding on the back of an orange SUV.,An examiner riding on the back of an orange SUV.,stsb sentence1: A man riding on the back of an orange SUV. sentence2: An examiner riding on the back of an orange SUV.
A man sitting in a back yard playing the guitar.,An examiner sitting in a back yard playing the guitar.,stsb sentence1: A man sitting in a back yard playing the guitar. sentence2: An examiner sitting in a back yard playing the guitar.
A man in a top hat rides a white horse.,An examiner in a top hat rides a white horse.,stsb sentence1: A man in a top hat rides a white horse. sentence2: An examiner in a top hat rides a white horse.
A man riding a brown horse.,An examiner riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: An examiner riding a brown horse.
A man wearing black formal wear & a black top hat is riding a white show horse.,An examiner wearing black formal wear & a black top hat is riding a white show horse.,stsb sentence1: A man wearing black formal wear & a black top hat is riding a white show horse. sentence2: An examiner wearing black formal wear & a black top hat is riding a white show horse.
A man dressed in a pale scarf with a stick.,An examiner dressed in a pale scarf with a stick.,stsb sentence1: A man dressed in a pale scarf with a stick. sentence2: An examiner dressed in a pale scarf with a stick.
"A man sitting cross legged on the grass, with a tree in the background.","An examiner sitting cross legged on the grass, with a tree in the background.","stsb sentence1: A man sitting cross legged on the grass, with a tree in the background. sentence2: An examiner sitting cross legged on the grass, with a tree in the background."
A man and woman sit at a table in a restaurant.,An examiner and woman sit at a table in a restaurant.,stsb sentence1: A man and woman sit at a table in a restaurant. sentence2: An examiner and woman sit at a table in a restaurant.
A man stands in front of a building in the snow.,An examiner stands in front of a building in the snow.,stsb sentence1: A man stands in front of a building in the snow. sentence2: An examiner stands in front of a building in the snow.
A man and woman are posing for the camera.,An examiner and woman are posing for the camera.,stsb sentence1: A man and woman are posing for the camera. sentence2: An examiner and woman are posing for the camera.
A man riding a brown horse.,An examiner riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: An examiner riding a brown horse.
A man and a woman watch two dogs.,An examiner and a woman watch two dogs.,stsb sentence1: A man and a woman watch two dogs. sentence2: An examiner and a woman watch two dogs.
A man sits by a dock looking at the water.,An examiner sits by a dock looking at the water.,stsb sentence1: A man sits by a dock looking at the water. sentence2: An examiner sits by a dock looking at the water.
A man and a woman are standing in front of a building,An examiner and a woman are standing in front of a building,stsb sentence1: A man and a woman are standing in front of a building sentence2: An examiner and a woman are standing in front of a building
A man in a black and orange jacket throws a stick for a brown and black dog to fetch.,An examiner in a black and orange jacket throws a stick for a brown and black dog to fetch.,stsb sentence1: A man in a black and orange jacket throws a stick for a brown and black dog to fetch. sentence2: An examiner in a black and orange jacket throws a stick for a brown and black dog to fetch.
A man and a woman walk with a white dog on a leash.,An examiner and a woman walk with a white dog on a leash.,stsb sentence1: A man and a woman walk with a white dog on a leash. sentence2: An examiner and a woman walk with a white dog on a leash.
A man in a suit dances with a young girl in front of an audience.,An examiner in a suit dances with a young girl in front of an audience.,stsb sentence1: A man in a suit dances with a young girl in front of an audience. sentence2: An examiner in a suit dances with a young girl in front of an audience.
A man and a dog on rocks on a beach.,An examiner and a dog on rocks on a beach.,stsb sentence1: A man and a dog on rocks on a beach. sentence2: An examiner and a dog on rocks on a beach.
A man climbing a rock-face.,An examiner climbing a rock-face.,stsb sentence1: A man climbing a rock-face. sentence2: An examiner climbing a rock-face.
A man in a wet suit is throwing a baby wearing a wet suit up into the air.,An examiner in a wet suit is throwing a baby wearing a wet suit up into the air.,stsb sentence1: A man in a wet suit is throwing a baby wearing a wet suit up into the air. sentence2: An examiner in a wet suit is throwing a baby wearing a wet suit up into the air.
